

Results from heasarc_hipparcos: Hipparcos Main Catalog
Coordinate system:  Equatorial
|pm_ra   |pm_dec  |hip_number|vmag |ra_deg      |dec_deg     |hd_id |
|  263.58|  -23.28|     63613| 3.61|195.56573968|-71.54879865|112985|
|   65.47| -116.59|     13209| 3.61|042.49578911|+27.26079044| 17573|
|  -74.25|  -80.31|     15900| 3.61|051.20349011|+09.02906504| 21120|
|  -11.08|  -56.37|     86929| 3.61|266.43334347|-64.72373450|160635|
|   25.73|   -3.29|      7097| 3.62|022.87080776|+15.34583101|  9270|
|   17.77|  -44.70|     17847| 3.62|057.29054669|+24.05352412| 23850|
|  -10.77|    5.97|     37819| 3.62|116.31376631|-37.96859848| 63032|
| -126.55| -227.77|     82729| 3.62|253.64627156|-42.36075916|152334|
|   22.47|    0.24|    113726| 3.62|345.48019377|+42.32597866|217675|
| -100.42|   33.21|     57363| 3.63|176.40236386|-66.72884344|102249|
|  118.28|  -47.65|    101769| 3.64|309.38695734|+14.59520289|196524|
|  107.55|   26.86|     46733| 3.65|142.88154025|+63.06179545| 81937|
|  191.32|   37.47|    110960| 3.65|337.20750231|-00.02006304|213051|
|   68.54|  -41.31|     77233| 3.65|236.54672877|+15.42192602|141003|
|  115.29|  -23.86|     20205| 3.65|064.94805793|+15.62770031| 27371|
|   -8.43|   -9.26|     88714| 3.65|271.65782832|-50.09145462|165024|
|  -22.10|  -26.54|     76600| 3.66|234.66410153|-29.77768935|139365|
| -181.39|   86.84|     75695| 3.66|231.95771631|+29.10549164|137909|
|   21.06|  -24.75|    103227| 3.67|313.70241509|-58.45409470|198700|
|  -56.52|   17.19|     68756| 3.67|211.09760837|+64.37580873|123299|
|   -3.62|    1.03|     22549| 3.68|072.80152507|+05.60510146| 30836|
|  -14.28|   10.60|     42828| 3.68|130.89811451|-33.18641133| 74575|
|   55.99|   31.25|    114341| 3.68|347.36150879|-21.17248555|218594|
|   -4.58|   11.10|     97365| 3.68|296.84693842|+18.53425912|187076|
| -138.38|   28.37|     57399| 3.69|176.51305887|+47.77933701|102224|
|  681.24|  284.23|      9007| 3.69|028.98680207|-51.60958673| 11937|
|   17.77|   -9.15|      2920| 3.69|009.24277921|+53.89693161|  3360|
